Hours,Count
6,141
7,131
8,197
9,181
10,213
11,214
12,324
13,228
14,282
15,306
16,305
17,363
18,364
19,331
20,357
21,354
22,386
23,357
0,384
1,276
2,264
3,213
4,149
5,127
6,118
7,122
8,151
9,163
10,179
11,169
12,283
13,212
14,225
15,282
16,312
17,327
18,303
19,292
20,346
21,339
22,358
23,276
0,639
1,414
2,377
3,205
4,210
5,198
6,248
7,403
8,646
9,468
10,489
11,493
12,674
13,520
14,511
15,622
16,880
17,654
18,657
19,608
20,549
21,501
22,553
23,508
0,539
1,357
2,244
3,216
4,202
5,165
6,278
7,404
8,692
9,569
10,495
11,491
12,699
13,593
14,593
15,679
16,1015
17,728
18,710
19,607
20,554
21,483
22,505
23,456
0,511
1,340
2,248
3,205
4,178
5,157
6,254
7,406
8,682
9,528
10,523
11,513
12,778
13,636
14,620
15,817
16,1159
17,877
18,741
19,648
20,623
21,573
22,580
23,557
0,585
1,318
2,255
3,243
4,167
5,162
6,224
7,394
8,641
9,483
10,559
11,530
12,762
13,631
14,653
15,761
16,1049
17,808
18,797
19,660
20,662
21,566
22,607
23,623
0,639
1,472
2,366
3,226
4,199
5,185
6,236
7,386
8,666
9,465
10,509
11,481
12,662
13,551
14,504
15,677
16,1112
17,753
18,881
19,753
20,691
21,657
22,799
23,757
0,889
1,729
2,642
3,294
4,231
5,204
6,184
7,249
8,391
9,375
10,396
11,383
12,553
13,444
14,484
15,606
16,760
17,685
18,743
19,721
20,673
21,690
22,836
23,842
0,917
1,890
2,700
3,351
4,244
5,185
6,191
7,225
8,377
9,313
10,353
11,371
12,590
13,419
14,439
15,586
16,645
17,645
18,656
19,571
20,673
21,547
22,694
23,578
0,29
1,18
2,15
3,17
4,30
5,35
6,54
7,61
8,54
9,51
10,51
11,51
12,66
13,56
14,52
15,41
16,37
17,40
18,34
19,40
20,34
21,31
22,26
23,18
0,40
1,19
2,8
3,9
4,19
5,27
6,48
7,51
8,45
9,54
10,54
11,48
12,62
13,45
14,56
15,47
16,33
17,50
18,46
19,33
20,19
21,28
22,33
23,20
0,47
1,23
2,8
3,10
4,22
5,26
6,58
7,70
8,55
9,56
10,57
11,39
12,66
13,37
14,44
15,30
16,26
17,46
18,38
19,39
20,28
21,30
22,22
23,40
0,23
1,21
2,6
3,18
4,30
5,29
6,60
7,45
8,52
9,38
10,65
11,46
12,54
13,56
14,36
15,46
16,47
17,55
18,52
19,42
20,48
21,30
22,28
23,21
0,36
1,11
2,15
3,15
4,22
5,34
6,48
7,45
8,59
9,57
10,49
11,44
12,49
13,46
14,38
15,58
16,48
17,58
18,52
19,36
20,28
21,29
22,40
23,30
0,31
1,13
2,8
3,11
4,22
5,28
6,42
7,50
8,53
9,44
10,46
11,38
12,37
13,38
14,42
15,40
16,39
17,31
18,46
19,35
20,26
21,24
22,29
23,16
0,29
1,25
2,10
3,10
4,12
5,15
6,20
7,28
8,40
9,42
10,48
11,32
12,46
13,39
14,39
15,37
16,46
17,31
18,32
19,29
20,31
21,24
22,22
23,39
